reference,predicted_accuracy,null_model_p0,null_model_p0_stdev,damage_model_p,damage_model_p_stdev,damage_model_pmin,damage_model_pmin_stdev,damage_model_pmax,damage_model_pmax_stdev,pvalue,qvalue,RMSE,nb_reads_aligned,coverage,reflen,CtoT-0,CtoT-1,CtoT-2,CtoT-3,CtoT-4,CtoT-5,CtoT-6,CtoT-7,CtoT-8,CtoT-9,CtoT-10,CtoT-11,CtoT-12,GtoA-0,GtoA-1,GtoA-2,GtoA-3,GtoA-4,GtoA-5,GtoA-6,GtoA-7,GtoA-8,GtoA-9,GtoA-10,GtoA-11,GtoA-12
OAK003.A0101_mh_000000009520,0.996,0.074,0.02,0.399,0.021,0.029,0.003,0.266,0.007,0.0,0.0,0.007,8818,57.14,10270,0.284,0.178,0.106,0.08,0.076,0.049,0.037,0.043,0.036,0.029,0.022,0.025,0.025,0.255,0.117,0.133,0.087,0.056,0.052,0.052,0.045,0.025,0.013,0.036,0.022,0.031
OAK003.A0101_mh_000000002299,0.995,0.078,0.02,0.464,0.072,0.038,0.009,0.276,0.022,0.0,0.0,0.02,955,50.001,1242,0.317,0.164,0.069,0.066,0.074,0.121,0.029,0.042,0.0,0.078,0.029,0.022,0.078,0.243,0.212,0.083,0.072,0.053,0.054,0.057,0.025,0.0,0.029,0.02,0.051,0.057
OAK003.A0101_mh_000000006210,0.993,0.091,0.02,0.4,0.052,0.045,0.008,0.282,0.017,0.0,0.0,0.016,841,33.288,1433,0.223,0.137,0.109,0.114,0.037,0.058,0.023,0.04,0.045,0.076,0.019,0.067,0.031,0.362,0.197,0.143,0.14,0.103,0.108,0.039,0.064,0.056,0.023,0.032,0.065,0.064
OAK003.A0101_mh_000000003783,0.989,0.085,0.023,0.349,0.059,0.026,0.012,0.293,0.023,0.0,0.0,0.022,298,9.33,1920,0.286,0.136,0.045,0.128,0.053,0.0,0.143,0.02,0.0,0.0,0.0,0.038,0.0,0.333,0.228,0.178,0.083,0.115,0.128,0.074,0.053,0.085,0.052,0.0,0.0,0.026
OAK003.A0101_mh_000000003817,0.998,0.115,0.027,0.442,0.051,0.059,0.009,0.382,0.022,0.0,0.0,0.02,539,12.298,2334,0.5,0.301,0.11,0.114,0.1,0.08,0.068,0.118,0.026,0.064,0.045,0.043,0.037,0.309,0.146,0.158,0.202,0.112,0.038,0.099,0.043,0.041,0.069,0.043,0.084,0.067
OAK003.A0101_mh_000000015345,0.994,0.077,0.02,0.417,0.019,0.032,0.003,0.275,0.006,0.0,0.0,0.006,5391,24.11,14146,0.286,0.18,0.105,0.085,0.048,0.057,0.058,0.047,0.039,0.027,0.039,0.031,0.025,0.261,0.182,0.106,0.073,0.062,0.064,0.03,0.032,0.042,0.043,0.028,0.02,0.029
OAK003.A0101_mh_000000006733,0.983,0.077,0.021,0.411,0.082,0.033,0.012,0.268,0.027,0.0,0.0,0.025,520,10.092,3033,0.263,0.112,0.149,0.091,0.063,0.08,0.051,0.062,0.011,0.011,0.043,0.013,0.035,0.333,0.097,0.106,0.123,0.061,0.091,0.048,0.024,0.032,0.058,0.014,0.013,0.015
OAK003.A0101_mh_000000008237,0.993,0.08,0.019,0.368,0.016,0.032,0.003,0.262,0.005,0.0,0.0,0.005,6942,30.452,14170,0.27,0.191,0.127,0.106,0.085,0.066,0.044,0.042,0.035,0.04,0.032,0.031,0.034,0.261,0.14,0.111,0.078,0.074,0.046,0.045,0.033,0.028,0.038,0.034,0.041,0.032
OAK003.A0101_mh_000000013235,1.0,0.126,0.035,0.359,0.054,0.04,0.017,0.444,0.032,0.0,0.0,0.03,202,10.303,1097,0.349,0.3,0.206,0.037,0.147,0.111,0.062,0.0,0.027,0.031,0.065,0.031,0.029,0.576,0.263,0.25,0.167,0.161,0.111,0.081,0.029,0.0,0.033,0.12,0.032,0.097
OAK003.A0101_mh_000000011119,0.998,0.082,0.02,0.382,0.022,0.035,0.004,0.27,0.007,0.0,0.0,0.007,7720,89.093,5094,0.271,0.184,0.125,0.087,0.09,0.076,0.047,0.057,0.047,0.032,0.041,0.025,0.037,0.271,0.182,0.107,0.085,0.066,0.051,0.036,0.041,0.055,0.052,0.023,0.025,0.027
OAK003.A0101_mh_000000008603,0.991,0.055,0.017,0.47,0.013,0.022,0.001,0.224,0.003,0.0,0.0,0.003,11746,29.217,26706,0.201,0.137,0.072,0.046,0.047,0.025,0.027,0.018,0.022,0.017,0.024,0.024,0.021,0.243,0.128,0.077,0.052,0.043,0.029,0.03,0.02,0.02,0.026,0.022,0.021,0.028
OAK003.A0101_mh_000000007229,0.997,0.088,0.024,0.432,0.032,0.036,0.005,0.327,0.012,0.0,0.0,0.011,917,28.787,1796,0.323,0.158,0.121,0.105,0.066,0.031,0.041,0.058,0.041,0.022,0.061,0.016,0.052,0.344,0.198,0.15,0.121,0.047,0.077,0.044,0.031,0.031,0.022,0.021,0.05,0.045
OAK003.A0101_mh_000000009781,0.985,0.08,0.021,0.306,0.05,0.021,0.011,0.258,0.018,0.0,0.0,0.017,1239,21.512,3665,0.267,0.153,0.095,0.09,0.075,0.062,0.0,0.04,0.026,0.0,0.011,0.011,0.077,0.25,0.229,0.11,0.131,0.049,0.094,0.07,0.069,0.044,0.023,0.007,0.015,0.031
OAK003.A0101_mh_000000015996,0.998,0.104,0.027,0.457,0.049,0.05,0.009,0.37,0.021,0.0,0.0,0.019,582,13.396,2502,0.426,0.195,0.09,0.17,0.138,0.087,0.103,0.088,0.038,0.046,0.057,0.036,0.057,0.346,0.196,0.159,0.102,0.059,0.074,0.038,0.056,0.032,0.021,0.054,0.027,0.025
OAK003.A0101_mh_000000016228,0.998,0.11,0.027,0.484,0.062,0.059,0.01,0.382,0.026,0.0,0.0,0.023,218,9.938,1144,0.4,0.265,0.22,0.065,0.0,0.053,0.081,0.083,0.029,0.07,0.135,0.065,0.119,0.35,0.222,0.086,0.097,0.091,0.114,0.093,0.023,0.0,0.086,0.036,0.024,0.043
OAK003.A0101_mh_000000012197,0.985,0.088,0.023,0.289,0.065,0.02,0.018,0.277,0.026,0.0,0.0,0.025,213,8.645,1404,0.293,0.245,0.184,0.062,0.064,0.058,0.037,0.018,0.061,0.038,0.024,0.023,0.032,0.176,0.25,0.176,0.083,0.071,0.136,0.034,0.03,0.062,0.069,0.042,0.0,0.034
OAK003.A0101_mh_000000013379,0.992,0.085,0.022,0.541,0.069,0.048,0.008,0.309,0.022,0.0,0.0,0.02,257,10.981,1344,0.3,0.158,0.087,0.061,0.038,0.041,0.02,0.016,0.098,0.019,0.024,0.038,0.016,0.333,0.156,0.135,0.095,0.118,0.111,0.024,0.05,0.095,0.023,0.067,0.077,0.075
OAK003.A0101_mh_000000003434,0.988,0.089,0.024,0.302,0.084,0.022,0.022,0.288,0.034,0.0,0.0,0.033,205,10.516,1113,0.29,0.188,0.125,0.073,0.259,0.182,0.026,0.0,0.057,0.0,0.0,0.0,0.036,0.326,0.182,0.108,0.077,0.098,0.054,0.021,0.067,0.0,0.05,0.022,0.049,0.024
OAK003.A0101_mh_000000005435,0.988,0.085,0.023,0.368,0.078,0.032,0.015,0.288,0.029,0.0,0.0,0.027,202,10.954,1061,0.262,0.259,0.088,0.139,0.105,0.029,0.075,0.125,0.036,0.0,0.0,0.036,0.025,0.35,0.105,0.111,0.121,0.074,0.054,0.032,0.1,0.03,0.057,0.029,0.0,0.0
OAK003.A0101_mh_000000007111,0.978,0.075,0.021,0.33,0.072,0.02,0.015,0.259,0.026,0.0,0.0,0.024,180,9.203,1135,0.312,0.125,0.0,0.114,0.062,0.0,0.061,0.0,0.0,0.034,0.0,0.0,0.03,0.222,0.214,0.143,0.179,0.071,0.128,0.0,0.0,0.057,0.027,0.051,0.034,0.029
OAK003.A0101_mh_000000006336,0.983,0.075,0.021,0.416,0.078,0.03,0.012,0.272,0.026,0.0,0.0,0.024,211,9.461,1205,0.294,0.138,0.12,0.037,0.0,0.038,0.038,0.061,0.03,0.083,0.031,0.0,0.0,0.282,0.12,0.167,0.065,0.088,0.143,0.086,0.045,0.0,0.0,0.03,0.0,0.029
OAK003.A0101_mh_000000008282,0.998,0.12,0.023,0.665,0.108,0.088,0.011,0.366,0.032,0.0,0.0,0.029,233,10.731,1118,0.442,0.161,0.021,0.13,0.162,0.125,0.122,0.065,0.062,0.103,0.053,0.053,0.026,0.282,0.214,0.2,0.091,0.098,0.083,0.1,0.176,0.116,0.103,0.053,0.143,0.0
OAK003.A0101_mh_000000007091,0.98,0.094,0.021,0.313,0.083,0.039,0.018,0.264,0.028,0.0,0.0,0.027,182,9.295,1050,0.317,0.318,0.125,0.08,0.059,0.273,0.042,0.125,0.0,0.1,0.083,0.0,0.038,0.219,0.094,0.161,0.111,0.042,0.031,0.071,0.054,0.167,0.0,0.054,0.0,0.0
OAK003.A0101_mh_000000004876,0.983,0.099,0.021,0.316,0.124,0.047,0.025,0.263,0.04,0.0,0.0,0.039,426,13.648,1896,0.103,0.167,0.083,0.0,0.107,0.167,0.059,0.074,0.042,0.08,0.067,0.0,0.176,0.283,0.333,0.2,0.109,0.041,0.0,0.026,0.15,0.06,0.053,0.065,0.023,0.031
