reference,predicted_accuracy,null_model_p0,null_model_p0_stdev,damage_model_p,damage_model_p_stdev,damage_model_pmin,damage_model_pmin_stdev,damage_model_pmax,damage_model_pmax_stdev,pvalue,qvalue,RMSE,nb_reads_aligned,coverage,reflen,CtoT-0,CtoT-1,CtoT-2,CtoT-3,CtoT-4,CtoT-5,CtoT-6,CtoT-7,CtoT-8,CtoT-9,CtoT-10,CtoT-11,CtoT-12,GtoA-0,GtoA-1,GtoA-2,GtoA-3,GtoA-4,GtoA-5,GtoA-6,GtoA-7,GtoA-8,GtoA-9,GtoA-10,GtoA-11,GtoA-12
NILGDKDM_16932,0.995,0.067,0.023,0.444,0.037,0.02,0.006,0.293,0.013,0.0,0.0,0.012,934,37.147,1556,0.289,0.103,0.052,0.065,0.077,0.05,0.042,0.027,0.052,0.0,0.0,0.01,0.021,0.291,0.244,0.114,0.043,0.045,0.032,0.045,0.053,0.017,0.013,0.014,0.019,0.007
NILGDKDM_20114,0.988,0.088,0.021,0.36,0.068,0.039,0.012,0.271,0.023,0.0,0.0,0.021,562,21.645,1543,0.286,0.241,0.146,0.123,0.018,0.093,0.088,0.082,0.0,0.1,0.064,0.1,0.035,0.224,0.233,0.127,0.08,0.056,0.012,0.041,0.045,0.045,0.025,0.059,0.012,0.034
NILGDKDM_18345,1.0,0.081,0.024,0.422,0.016,0.029,0.003,0.315,0.006,0.0,0.0,0.006,3019,119.374,1558,0.267,0.174,0.125,0.091,0.061,0.046,0.041,0.045,0.032,0.02,0.034,0.043,0.026,0.356,0.193,0.128,0.077,0.083,0.054,0.032,0.027,0.022,0.029,0.036,0.015,0.042
NILGDKDM_13396,0.999,0.085,0.027,0.498,0.037,0.035,0.006,0.361,0.015,0.0,0.0,0.014,860,32.442,1524,0.395,0.19,0.109,0.064,0.03,0.05,0.07,0.065,0.026,0.01,0.025,0.031,0.048,0.335,0.214,0.112,0.079,0.054,0.048,0.079,0.047,0.054,0.02,0.026,0.019,0.014
NILGDKDM_07234,0.996,0.064,0.026,0.47,0.041,0.012,0.007,0.328,0.017,0.0,0.0,0.015,392,15.858,1497,0.333,0.116,0.043,0.114,0.047,0.023,0.054,0.019,0.019,0.0,0.0,0.0,0.0,0.321,0.294,0.081,0.057,0.038,0.038,0.0,0.017,0.02,0.018,0.028,0.0,0.0
NILGDKDM_29461,0.994,0.08,0.022,0.457,0.05,0.037,0.007,0.294,0.017,0.0,0.0,0.015,780,30.399,1544,0.333,0.125,0.086,0.076,0.119,0.024,0.041,0.041,0.022,0.061,0.038,0.0,0.039,0.279,0.19,0.1,0.125,0.043,0.064,0.045,0.044,0.055,0.007,0.07,0.016,0.03
NILGDKDM_02016,0.997,0.098,0.026,0.369,0.047,0.035,0.01,0.336,0.02,0.0,0.0,0.019,862,30.621,1536,0.304,0.27,0.14,0.068,0.109,0.082,0.05,0.041,0.019,0.011,0.019,0.011,0.029,0.386,0.192,0.107,0.123,0.129,0.109,0.086,0.037,0.039,0.029,0.042,0.044,0.046
NILGDKDM_20001,0.997,0.081,0.026,0.482,0.047,0.031,0.008,0.346,0.019,0.0,0.0,0.017,357,16.213,1305,0.385,0.286,0.125,0.053,0.0,0.023,0.0,0.021,0.023,0.029,0.034,0.0,0.062,0.314,0.196,0.069,0.115,0.062,0.031,0.036,0.064,0.016,0.048,0.075,0.02,0.029
NILGDKDM_13715,0.999,0.074,0.024,0.477,0.02,0.027,0.003,0.318,0.007,0.0,0.0,0.007,2139,94.018,1525,0.31,0.148,0.078,0.065,0.032,0.023,0.034,0.021,0.037,0.028,0.022,0.022,0.018,0.325,0.21,0.11,0.077,0.07,0.046,0.048,0.031,0.034,0.025,0.041,0.031,0.006
NILGDKDM_17929,0.997,0.081,0.026,0.629,0.097,0.042,0.012,0.356,0.034,0.0,0.0,0.03,322,11.726,1499,0.344,0.097,0.037,0.118,0.029,0.057,0.037,0.114,0.025,0.056,0.029,0.042,0.029,0.368,0.222,0.043,0.13,0.061,0.043,0.02,0.081,0.073,0.0,0.023,0.019,0.0
