reference,predicted_accuracy,null_model_p0,null_model_p0_stdev,damage_model_p,damage_model_p_stdev,damage_model_pmin,damage_model_pmin_stdev,damage_model_pmax,damage_model_pmax_stdev,pvalue,qvalue,RMSE,nb_reads_aligned,coverage,reflen,CtoT-0,CtoT-1,CtoT-2,CtoT-3,CtoT-4,CtoT-5,CtoT-6,CtoT-7,CtoT-8,CtoT-9,CtoT-10,CtoT-11,CtoT-12,GtoA-0,GtoA-1,GtoA-2,GtoA-3,GtoA-4,GtoA-5,GtoA-6,GtoA-7,GtoA-8,GtoA-9,GtoA-10,GtoA-11,GtoA-12
OAK003.A0101_pg_000000018930,0.986,0.065,0.017,0.405,0.06,0.027,0.008,0.229,0.017,0.0,0.0,0.016,1673,47.48,2371,0.245,0.174,0.071,0.12,0.075,0.035,0.022,0.018,0.027,0.028,0.028,0.03,0.035,0.228,0.058,0.088,0.1,0.032,0.035,0.068,0.031,0.029,0.0,0.046,0.03,0.0
OAK003.A0101_pg_000000002812,0.99,0.067,0.023,0.46,0.078,0.023,0.011,0.285,0.027,0.0,0.0,0.024,636,17.712,2364,0.29,0.15,0.096,0.041,0.123,0.053,0.016,0.016,0.016,0.028,0.0,0.016,0.014,0.314,0.083,0.156,0.031,0.093,0.025,0.057,0.0,0.024,0.025,0.023,0.0,0.051
OAK003.A0101_pg_000000005585,0.995,0.082,0.021,0.436,0.022,0.037,0.003,0.293,0.008,0.0,0.0,0.007,1563,32.414,3252,0.267,0.165,0.122,0.074,0.043,0.054,0.043,0.096,0.01,0.021,0.059,0.034,0.056,0.307,0.199,0.123,0.077,0.066,0.042,0.048,0.038,0.059,0.03,0.023,0.041,0.028
OAK003.A0101_pg_000000018891,0.995,0.074,0.021,0.489,0.076,0.036,0.009,0.278,0.023,0.0,0.0,0.021,777,48.322,1024,0.239,0.181,0.087,0.061,0.066,0.067,0.068,0.016,0.0,0.023,0.012,0.063,0.067,0.34,0.176,0.041,0.058,0.075,0.102,0.043,0.039,0.0,0.051,0.019,0.0,0.038
OAK003.A0101_pg_000000005408,1.0,0.069,0.02,0.458,0.031,0.029,0.004,0.267,0.01,0.0,0.0,0.009,7027,399.755,1051,0.268,0.16,0.099,0.084,0.066,0.063,0.039,0.035,0.021,0.027,0.021,0.026,0.033,0.275,0.137,0.064,0.064,0.055,0.049,0.025,0.039,0.028,0.027,0.023,0.018,0.021
OAK003.A0101_pg_000000009381,0.976,0.07,0.021,0.283,0.057,0.006,0.015,0.245,0.021,0.0,0.0,0.02,464,14.075,2146,0.238,0.167,0.204,0.049,0.098,0.065,0.07,0.017,0.021,0.0,0.018,0.036,0.02,0.242,0.182,0.115,0.038,0.037,0.033,0.032,0.0,0.023,0.03,0.0,0.0,0.0
OAK003.A0101_pg_000000016106,0.992,0.069,0.025,0.457,0.095,0.021,0.015,0.307,0.036,0.0,0.0,0.033,247,10.478,1455,0.296,0.222,0.08,0.0,0.033,0.0,0.038,0.0,0.043,0.0,0.0,0.0,0.0,0.286,0.214,0.148,0.0,0.12,0.0,0.034,0.045,0.036,0.0,0.16,0.033,0.0
OAK003.A0101_pg_000000013709,0.998,0.081,0.033,0.376,0.077,0.005,0.02,0.378,0.041,0.0,0.0,0.039,161,9.73,1137,0.4,0.3,0.091,0.133,0.0,0.2,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.125,0.2,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OAK003.A0101_pg_000000003934,0.957,0.073,0.016,0.413,0.092,0.04,0.01,0.216,0.022,0.0,0.0,0.02,406,14.502,1784,0.268,0.154,0.122,0.059,0.049,0.043,0.055,0.048,0.125,0.0,0.062,0.039,0.079,0.159,0.152,0.071,0.079,0.083,0.034,0.02,0.029,0.061,0.0,0.061,0.031,0.0
OAK003.A0101_pg_000000018702,0.985,0.101,0.021,0.347,0.109,0.053,0.019,0.271,0.035,0.0,0.0,0.033,295,13.878,1245,0.27,0.294,0.179,0.118,0.034,0.0,0.0,0.048,0.079,0.043,0.107,0.037,0.0,0.167,0.214,0.143,0.0,0.143,0.167,0.077,0.105,0.059,0.059,0.1,0.0,0.214
