reference,predicted_accuracy,null_model_p0,null_model_p0_stdev,damage_model_p,damage_model_p_stdev,damage_model_pmin,damage_model_pmin_stdev,damage_model_pmax,damage_model_pmax_stdev,pvalue,qvalue,RMSE,nb_reads_aligned,coverage,reflen,CtoT-0,CtoT-1,CtoT-2,CtoT-3,CtoT-4,CtoT-5,CtoT-6,CtoT-7,CtoT-8,CtoT-9,CtoT-10,CtoT-11,CtoT-12,GtoA-0,GtoA-1,GtoA-2,GtoA-3,GtoA-4,GtoA-5,GtoA-6,GtoA-7,GtoA-8,GtoA-9,GtoA-10,GtoA-11,GtoA-12
OAK003.A0101_carpe_000000021800,0.988,0.081,0.02,0.366,0.043,0.033,0.007,0.261,0.014,0.0,0.0,0.013,2384,18.751,8443,0.273,0.198,0.094,0.095,0.095,0.065,0.086,0.065,0.025,0.02,0.035,0.048,0.034,0.252,0.156,0.109,0.082,0.082,0.046,0.028,0.055,0.025,0.025,0.005,0.012,0.046
OAK003.A0101_carpe_000000013220,0.995,0.085,0.022,0.457,0.043,0.04,0.006,0.305,0.015,0.0,0.0,0.014,1292,31.125,2331,0.265,0.156,0.089,0.098,0.048,0.05,0.027,0.034,0.036,0.04,0.017,0.06,0.043,0.376,0.165,0.148,0.12,0.089,0.088,0.038,0.065,0.033,0.021,0.041,0.054,0.031
OAK003.A0101_carpe_000000026599,0.998,0.068,0.019,0.443,0.024,0.028,0.003,0.257,0.007,0.0,0.0,0.007,7328,85.317,5301,0.242,0.148,0.067,0.059,0.043,0.039,0.023,0.03,0.018,0.028,0.023,0.02,0.023,0.268,0.167,0.099,0.08,0.063,0.063,0.047,0.038,0.024,0.038,0.024,0.029,0.028
OAK003.A0101_carpe_000000018226,0.986,0.073,0.021,0.367,0.039,0.022,0.007,0.266,0.014,0.0,0.0,0.013,940,18.684,3144,0.257,0.146,0.103,0.073,0.075,0.071,0.024,0.029,0.032,0.011,0.06,0.027,0.037,0.275,0.215,0.099,0.092,0.072,0.073,0.037,0.0,0.008,0.01,0.023,0.035,0.009
OAK003.A0101_carpe_000000009740,0.988,0.078,0.024,0.312,0.049,0.012,0.012,0.285,0.02,0.0,0.0,0.019,358,9.724,2318,0.3,0.208,0.149,0.075,0.022,0.023,0.045,0.04,0.045,0.053,0.068,0.024,0.0,0.24,0.256,0.119,0.178,0.041,0.053,0.067,0.026,0.0,0.0,0.025,0.0,0.0
OAK003.A0101_carpe_000000030513,0.994,0.074,0.02,0.426,0.038,0.031,0.005,0.269,0.012,0.0,0.0,0.011,1016,50.599,1235,0.292,0.183,0.088,0.078,0.051,0.073,0.053,0.042,0.022,0.037,0.016,0.023,0.068,0.226,0.156,0.111,0.094,0.044,0.031,0.062,0.018,0.0,0.034,0.048,0.023,0.02
OAK003.A0101_carpe_000000029660,0.964,0.079,0.017,0.281,0.048,0.028,0.01,0.217,0.014,0.0,0.0,0.014,1319,12.824,6793,0.26,0.217,0.112,0.128,0.079,0.041,0.072,0.021,0.03,0.067,0.035,0.02,0.06,0.153,0.083,0.143,0.13,0.023,0.059,0.067,0.054,0.042,0.0,0.026,0.038,0.024
OAK003.A0101_carpe_000000007606,0.988,0.085,0.022,0.321,0.052,0.026,0.012,0.276,0.02,0.0,0.0,0.019,616,16.345,2396,0.3,0.2,0.146,0.094,0.103,0.056,0.0,0.0,0.034,0.0,0.028,0.023,0.16,0.226,0.246,0.115,0.121,0.018,0.093,0.069,0.044,0.052,0.03,0.014,0.031,0.028
OAK003.A0101_carpe_000000030217,0.972,0.081,0.017,0.297,0.04,0.029,0.008,0.23,0.012,0.0,0.0,0.012,840,20.219,2545,0.245,0.163,0.124,0.111,0.123,0.059,0.032,0.053,0.043,0.021,0.018,0.031,0.045,0.223,0.17,0.119,0.071,0.081,0.069,0.053,0.065,0.021,0.036,0.019,0.038,0.056
OAK003.A0101_carpe_000000010193,0.996,0.085,0.022,0.444,0.05,0.04,0.007,0.301,0.017,0.0,0.0,0.016,1391,36.43,2064,0.288,0.176,0.095,0.103,0.085,0.077,0.02,0.063,0.024,0.038,0.029,0.02,0.051,0.326,0.177,0.124,0.08,0.085,0.05,0.006,0.073,0.076,0.046,0.069,0.006,0.03
OAK003.A0101_carpe_000000007759,0.995,0.079,0.024,0.513,0.066,0.036,0.009,0.322,0.023,0.0,0.0,0.021,599,10.352,3934,0.317,0.145,0.068,0.065,0.031,0.086,0.08,0.046,0.029,0.015,0.019,0.032,0.016,0.35,0.16,0.178,0.129,0.054,0.114,0.019,0.028,0.0,0.028,0.0,0.021,0.088
OAK003.A0101_carpe_000000011018,0.981,0.072,0.023,0.269,0.063,0.001,0.019,0.255,0.025,0.0,0.0,0.024,426,16.333,1641,0.306,0.192,0.194,0.108,0.053,0.118,0.021,0.062,0.0,0.0,0.0,0.0,0.05,0.231,0.033,0.08,0.152,0.1,0.045,0.0,0.0,0.0,0.0,0.0,0.036,0.0
OAK003.A0101_carpe_000000031118,0.997,0.074,0.024,0.544,0.045,0.033,0.006,0.327,0.016,0.0,0.0,0.014,624,29.342,1266,0.368,0.152,0.097,0.062,0.07,0.071,0.06,0.041,0.012,0.036,0.029,0.016,0.028,0.278,0.143,0.075,0.103,0.038,0.053,0.037,0.016,0.014,0.031,0.0,0.025,0.016
OAK003.A0101_carpe_000000015512,0.998,0.07,0.018,0.425,0.021,0.03,0.003,0.251,0.006,0.0,0.0,0.006,7587,89.89,5271,0.262,0.157,0.117,0.084,0.055,0.054,0.057,0.035,0.032,0.026,0.035,0.029,0.026,0.244,0.135,0.077,0.069,0.05,0.046,0.042,0.023,0.03,0.031,0.019,0.03,0.02
OAK003.A0101_carpe_000000000770,0.995,0.077,0.021,0.432,0.024,0.033,0.004,0.282,0.008,0.0,0.0,0.007,1488,45.695,1934,0.272,0.148,0.088,0.074,0.057,0.017,0.022,0.057,0.036,0.043,0.031,0.043,0.018,0.289,0.205,0.108,0.102,0.057,0.063,0.07,0.034,0.03,0.032,0.034,0.032,0.025
OAK003.A0101_carpe_000000005448,0.981,0.07,0.021,0.342,0.066,0.016,0.013,0.256,0.023,0.0,0.0,0.022,482,16.569,1806,0.295,0.105,0.119,0.077,0.062,0.027,0.026,0.047,0.0,0.0,0.023,0.027,0.0,0.246,0.17,0.179,0.043,0.047,0.137,0.021,0.048,0.0,0.017,0.0,0.019,0.053
OAK003.A0101_carpe_000000028741,0.993,0.077,0.022,0.509,0.045,0.037,0.006,0.302,0.015,0.0,0.0,0.013,1140,17.283,4247,0.295,0.178,0.128,0.067,0.07,0.075,0.022,0.047,0.064,0.034,0.064,0.028,0.023,0.313,0.139,0.109,0.056,0.043,0.022,0.039,0.04,0.064,0.0,0.054,0.028,0.022
OAK003.A0101_carpe_000000025422,0.994,0.074,0.02,0.446,0.021,0.032,0.003,0.272,0.007,0.0,0.0,0.006,2006,48.007,2365,0.258,0.126,0.075,0.068,0.04,0.043,0.042,0.039,0.032,0.027,0.023,0.019,0.024,0.286,0.181,0.13,0.082,0.065,0.044,0.036,0.06,0.05,0.035,0.032,0.031,0.024
OAK003.A0101_carpe_000000028363,0.997,0.085,0.024,0.494,0.042,0.04,0.006,0.328,0.015,0.0,0.0,0.014,561,25.861,1198,0.33,0.176,0.111,0.147,0.075,0.04,0.082,0.043,0.079,0.05,0.028,0.011,0.055,0.337,0.17,0.089,0.082,0.032,0.048,0.032,0.053,0.012,0.045,0.032,0.04,0.012
OAK003.A0101_carpe_000000014535,0.996,0.067,0.018,0.407,0.028,0.027,0.004,0.237,0.008,0.0,0.0,0.008,4777,90.807,3223,0.234,0.166,0.088,0.077,0.061,0.057,0.027,0.027,0.05,0.028,0.03,0.019,0.018,0.241,0.149,0.083,0.066,0.063,0.036,0.05,0.028,0.042,0.019,0.017,0.032,0.031
OAK003.A0101_carpe_000000007451,0.968,0.057,0.016,0.522,0.043,0.029,0.004,0.224,0.01,0.0,0.0,0.009,1292,12.217,6958,0.215,0.134,0.054,0.093,0.062,0.041,0.035,0.051,0.03,0.041,0.031,0.021,0.027,0.236,0.103,0.062,0.037,0.013,0.034,0.014,0.029,0.031,0.037,0.006,0.019,0.012
OAK003.A0101_carpe_000000023841,0.974,0.073,0.017,0.323,0.049,0.026,0.009,0.226,0.015,0.0,0.0,0.014,491,27.179,1099,0.182,0.182,0.061,0.041,0.065,0.044,0.04,0.052,0.0,0.082,0.029,0.017,0.042,0.276,0.093,0.164,0.12,0.101,0.063,0.062,0.021,0.031,0.0,0.041,0.023,0.024
OAK003.A0101_carpe_000000033883,0.982,0.052,0.019,0.586,0.056,0.022,0.005,0.255,0.015,0.0,0.0,0.013,759,15.663,3188,0.29,0.075,0.087,0.058,0.037,0.031,0.017,0.028,0.009,0.032,0.0,0.019,0.032,0.222,0.115,0.052,0.061,0.073,0.0,0.022,0.0,0.01,0.0,0.02,0.024,0.032
OAK003.A0101_carpe_000000034648,0.991,0.079,0.023,0.405,0.048,0.029,0.008,0.294,0.018,0.0,0.0,0.016,644,8.991,4724,0.318,0.188,0.147,0.1,0.058,0.026,0.071,0.029,0.028,0.036,0.069,0.011,0.022,0.286,0.094,0.093,0.143,0.048,0.078,0.0,0.073,0.022,0.0,0.04,0.0,0.02
OAK003.A0101_carpe_000000003636,0.953,0.056,0.016,0.349,0.028,0.016,0.004,0.199,0.008,0.0,0.0,0.007,1772,11.995,9731,0.197,0.112,0.069,0.062,0.057,0.024,0.018,0.019,0.019,0.009,0.024,0.024,0.019,0.213,0.121,0.131,0.083,0.047,0.047,0.039,0.025,0.017,0.016,0.033,0.013,0.009
OAK003.A0101_carpe_000000026360,0.99,0.067,0.017,0.445,0.032,0.031,0.004,0.241,0.009,0.0,0.0,0.008,2299,49.569,2950,0.232,0.168,0.112,0.091,0.05,0.057,0.03,0.031,0.034,0.028,0.042,0.032,0.032,0.268,0.085,0.071,0.057,0.053,0.057,0.055,0.047,0.047,0.017,0.018,0.019,0.004
OAK003.A0101_carpe_000000020964,0.999,0.083,0.02,0.399,0.023,0.037,0.004,0.278,0.008,0.0,0.0,0.007,3195,124.789,1487,0.269,0.197,0.126,0.094,0.08,0.049,0.046,0.048,0.031,0.048,0.044,0.035,0.042,0.287,0.175,0.091,0.119,0.038,0.055,0.052,0.043,0.036,0.046,0.036,0.043,0.022
OAK003.A0101_carpe_000000019532,0.996,0.067,0.017,0.417,0.03,0.029,0.004,0.232,0.008,0.0,0.0,0.008,2581,91.122,1763,0.248,0.166,0.081,0.075,0.047,0.047,0.045,0.035,0.025,0.026,0.017,0.022,0.027,0.212,0.132,0.079,0.068,0.077,0.062,0.048,0.047,0.034,0.024,0.03,0.032,0.025
OAK003.A0101_carpe_000000014139,0.985,0.072,0.019,0.356,0.022,0.024,0.004,0.246,0.007,0.0,0.0,0.007,2226,24.496,6049,0.272,0.186,0.111,0.073,0.068,0.063,0.029,0.037,0.049,0.038,0.021,0.02,0.019,0.208,0.136,0.126,0.083,0.044,0.063,0.032,0.049,0.031,0.007,0.032,0.028,0.018
OAK003.A0101_carpe_000000006726,0.99,0.078,0.021,0.451,0.054,0.035,0.008,0.288,0.018,0.0,0.0,0.016,349,17.538,1117,0.322,0.259,0.1,0.136,0.1,0.114,0.083,0.0,0.082,0.048,0.068,0.035,0.021,0.241,0.128,0.037,0.058,0.033,0.016,0.019,0.053,0.0,0.017,0.022,0.015,0.055
OAK003.A0101_carpe_000000016539,0.982,0.064,0.016,0.338,0.035,0.021,0.006,0.212,0.01,0.0,0.0,0.009,1785,50.047,2234,0.253,0.166,0.091,0.086,0.055,0.084,0.046,0.017,0.016,0.026,0.019,0.021,0.02,0.166,0.098,0.091,0.088,0.058,0.043,0.019,0.032,0.03,0.039,0.028,0.04,0.006
OAK003.A0101_carpe_000000013327,0.989,0.068,0.019,0.489,0.033,0.031,0.004,0.262,0.01,0.0,0.0,0.009,1160,31.41,2203,0.262,0.121,0.079,0.044,0.061,0.056,0.016,0.035,0.044,0.015,0.028,0.025,0.008,0.267,0.155,0.106,0.082,0.052,0.042,0.011,0.045,0.023,0.028,0.029,0.052,0.054
OAK003.A0101_carpe_000000024287,0.984,0.078,0.021,0.312,0.058,0.019,0.013,0.259,0.021,0.0,0.0,0.02,1075,14.958,4712,0.226,0.16,0.159,0.043,0.037,0.028,0.062,0.034,0.024,0.041,0.05,0.038,0.012,0.254,0.239,0.194,0.102,0.038,0.047,0.046,0.036,0.016,0.051,0.036,0.017,0.016
OAK003.A0101_carpe_000000023546,0.982,0.081,0.018,0.434,0.049,0.043,0.006,0.256,0.014,0.0,0.0,0.013,1039,12.337,5658,0.217,0.128,0.065,0.064,0.033,0.028,0.08,0.056,0.059,0.0,0.096,0.013,0.019,0.279,0.196,0.116,0.083,0.079,0.101,0.035,0.045,0.058,0.05,0.057,0.035,0.027
OAK003.A0101_carpe_000000005824,0.989,0.053,0.021,0.578,0.033,0.019,0.003,0.276,0.01,0.0,0.0,0.009,1241,17.47,4678,0.26,0.16,0.066,0.045,0.042,0.013,0.006,0.023,0.048,0.006,0.017,0.012,0.031,0.289,0.119,0.041,0.023,0.019,0.024,0.012,0.013,0.014,0.021,0.031,0.012,0.037
OAK003.A0101_carpe_000000020837,0.99,0.067,0.018,0.378,0.044,0.024,0.007,0.234,0.013,0.0,0.0,0.012,1988,57.216,2204,0.255,0.162,0.106,0.088,0.091,0.068,0.04,0.026,0.03,0.017,0.044,0.01,0.023,0.222,0.129,0.045,0.065,0.066,0.049,0.034,0.031,0.022,0.027,0.018,0.017,0.01
OAK003.A0101_carpe_000000015366,0.984,0.057,0.02,0.625,0.096,0.028,0.009,0.269,0.026,0.0,0.0,0.023,466,12.619,2417,0.22,0.158,0.045,0.0,0.0,0.059,0.025,0.0,0.021,0.02,0.0,0.088,0.103,0.295,0.152,0.017,0.051,0.0,0.036,0.034,0.038,0.034,0.0,0.032,0.02,0.043
OAK003.A0101_carpe_000000029578,0.987,0.086,0.023,0.286,0.058,0.018,0.016,0.276,0.023,0.0,0.0,0.023,297,15.024,1276,0.29,0.24,0.167,0.111,0.066,0.041,0.044,0.078,0.034,0.0,0.024,0.022,0.043,0.231,0.107,0.286,0.036,0.077,0.074,0.034,0.032,0.024,0.059,0.037,0.029,0.027
OAK003.A0101_carpe_000000015348,0.972,0.072,0.02,0.346,0.073,0.023,0.013,0.244,0.024,0.0,0.0,0.022,391,9.312,2593,0.157,0.08,0.041,0.082,0.085,0.023,0.058,0.02,0.073,0.055,0.0,0.0,0.0,0.304,0.262,0.089,0.106,0.07,0.05,0.021,0.032,0.047,0.023,0.02,0.045,0.018
