reference,predicted_accuracy,null_model_p0,null_model_p0_stdev,damage_model_p,damage_model_p_stdev,damage_model_pmin,damage_model_pmin_stdev,damage_model_pmax,damage_model_pmax_stdev,pvalue,qvalue,RMSE,nb_reads_aligned,coverage,reflen,CtoT-0,CtoT-1,CtoT-2,CtoT-3,CtoT-4,CtoT-5,CtoT-6,CtoT-7,CtoT-8,CtoT-9,CtoT-10,CtoT-11,CtoT-12,GtoA-0,GtoA-1,GtoA-2,GtoA-3,GtoA-4,GtoA-5,GtoA-6,GtoA-7,GtoA-8,GtoA-9,GtoA-10,GtoA-11,GtoA-12
OAK003.A0101_carpe_000000012720,0.986,0.083,0.021,0.35,0.034,0.029,0.007,0.277,0.012,0.0,0.0,0.012,578,9.077,3712,0.3,0.137,0.072,0.111,0.091,0.029,0.027,0.052,0.023,0.013,0.039,0.058,0.056,0.266,0.213,0.176,0.129,0.059,0.07,0.052,0.022,0.041,0.011,0.037,0.046,0.019
OAK003.A0101_carpe_000000018292,0.987,0.076,0.02,0.471,0.062,0.037,0.008,0.277,0.019,0.0,0.0,0.017,525,14.224,2052,0.244,0.108,0.093,0.041,0.086,0.056,0.055,0.04,0.019,0.064,0.042,0.03,0.035,0.284,0.222,0.096,0.036,0.083,0.05,0.014,0.041,0.071,0.061,0.037,0.025,0.0
OAK003.A0101_carpe_000000026496,0.988,0.072,0.02,0.405,0.027,0.026,0.004,0.269,0.009,0.0,0.0,0.009,1573,19.77,4608,0.241,0.169,0.117,0.065,0.033,0.034,0.038,0.019,0.025,0.018,0.028,0.025,0.016,0.312,0.145,0.107,0.107,0.079,0.083,0.06,0.029,0.053,0.014,0.036,0.031,0.017
OAK003.A0101_carpe_000000027758,0.992,0.079,0.02,0.396,0.028,0.034,0.004,0.27,0.009,0.0,0.0,0.009,4035,16.292,14959,0.285,0.176,0.101,0.11,0.05,0.061,0.055,0.054,0.036,0.023,0.024,0.041,0.038,0.255,0.194,0.095,0.083,0.078,0.073,0.034,0.031,0.039,0.034,0.038,0.035,0.027
OAK003.A0101_carpe_000000021165,0.991,0.072,0.021,0.44,0.033,0.028,0.005,0.279,0.011,0.0,0.0,0.01,1841,21.189,5817,0.319,0.16,0.096,0.056,0.066,0.037,0.036,0.031,0.053,0.027,0.025,0.015,0.024,0.227,0.154,0.168,0.071,0.05,0.025,0.044,0.066,0.029,0.008,0.009,0.023,0.054
OAK003.A0101_carpe_000000010921,0.994,0.073,0.021,0.466,0.058,0.033,0.008,0.277,0.019,0.0,0.0,0.017,1029,43.251,1441,0.296,0.143,0.12,0.094,0.089,0.088,0.02,0.064,0.041,0.014,0.013,0.007,0.024,0.281,0.111,0.069,0.081,0.06,0.027,0.034,0.036,0.042,0.049,0.04,0.021,0.017
OAK003.A0101_carpe_000000020384,0.992,0.078,0.019,0.379,0.023,0.032,0.004,0.259,0.007,0.0,0.0,0.007,2494,44.516,3322,0.282,0.191,0.157,0.102,0.072,0.057,0.033,0.039,0.035,0.037,0.035,0.042,0.031,0.239,0.109,0.095,0.07,0.06,0.056,0.048,0.041,0.043,0.032,0.02,0.045,0.016
OAK003.A0101_carpe_000000032002,0.972,0.072,0.018,0.28,0.026,0.015,0.006,0.226,0.008,0.0,0.0,0.008,895,21.861,2765,0.255,0.222,0.093,0.112,0.07,0.061,0.04,0.02,0.012,0.021,0.022,0.052,0.018,0.188,0.058,0.162,0.102,0.069,0.053,0.069,0.048,0.034,0.023,0.019,0.016,0.0
OAK003.A0101_carpe_000000001788,0.992,0.077,0.02,0.363,0.017,0.026,0.003,0.268,0.006,0.0,0.0,0.006,3603,28.272,8432,0.277,0.198,0.122,0.09,0.086,0.043,0.044,0.041,0.032,0.033,0.026,0.02,0.027,0.269,0.131,0.109,0.101,0.054,0.069,0.05,0.027,0.028,0.01,0.045,0.022,0.028
OAK003.A0101_carpe_000000024061,0.978,0.075,0.019,0.311,0.058,0.021,0.012,0.24,0.019,0.0,0.0,0.019,1033,19.476,3363,0.219,0.23,0.102,0.136,0.05,0.074,0.067,0.06,0.039,0.019,0.009,0.018,0.036,0.253,0.138,0.071,0.067,0.075,0.067,0.0,0.016,0.032,0.0,0.014,0.0,0.096
OAK003.A0101_carpe_000000010713,0.975,0.075,0.018,0.444,0.084,0.04,0.01,0.246,0.023,0.0,0.0,0.021,655,10.357,3952,0.215,0.182,0.108,0.047,0.098,0.028,0.039,0.07,0.042,0.08,0.076,0.034,0.012,0.284,0.076,0.151,0.06,0.077,0.028,0.037,0.031,0.057,0.018,0.068,0.0,0.014
OAK003.A0101_carpe_000000021555,0.997,0.074,0.024,0.574,0.078,0.035,0.009,0.324,0.026,0.0,0.0,0.023,720,33.032,1326,0.286,0.143,0.047,0.108,0.014,0.1,0.042,0.029,0.0,0.058,0.0,0.0,0.034,0.363,0.131,0.092,0.099,0.075,0.089,0.027,0.027,0.027,0.023,0.036,0.017,0.019
OAK003.A0101_carpe_000000031627,0.948,0.054,0.015,0.474,0.058,0.025,0.005,0.2,0.013,0.0,0.0,0.012,1012,16.001,4221,0.205,0.102,0.042,0.087,0.064,0.015,0.035,0.029,0.031,0.019,0.025,0.0,0.03,0.198,0.132,0.063,0.063,0.036,0.013,0.03,0.039,0.038,0.012,0.043,0.022,0.02
OAK003.A0101_carpe_000000005642,0.982,0.072,0.023,0.284,0.059,0.003,0.017,0.259,0.023,0.0,0.0,0.023,424,16.521,1610,0.231,0.034,0.08,0.125,0.103,0.045,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.311,0.196,0.188,0.108,0.054,0.114,0.02,0.062,0.0,0.0,0.0,0.0,0.049
