reference,predicted_accuracy,null_model_p0,null_model_p0_stdev,damage_model_p,damage_model_p_stdev,damage_model_pmin,damage_model_pmin_stdev,damage_model_pmax,damage_model_pmax_stdev,pvalue,qvalue,RMSE,nb_reads_aligned,coverage,reflen,CtoT-0,CtoT-1,CtoT-2,CtoT-3,CtoT-4,CtoT-5,CtoT-6,CtoT-7,CtoT-8,CtoT-9,CtoT-10,CtoT-11,CtoT-12,GtoA-0,GtoA-1,GtoA-2,GtoA-3,GtoA-4,GtoA-5,GtoA-6,GtoA-7,GtoA-8,GtoA-9,GtoA-10,GtoA-11,GtoA-12
CMEAHAGD_30474,0.988,0.063,0.021,0.434,0.048,0.018,0.007,0.271,0.016,0.0,0.0,0.015,569,23.325,1554,0.308,0.121,0.027,0.095,0.031,0.049,0.031,0.016,0.032,0.0,0.0,0.03,0.019,0.24,0.231,0.097,0.055,0.047,0.022,0.052,0.067,0.009,0.009,0.011,0.011,0.01
CMEAHAGD_09985,0.998,0.077,0.028,0.501,0.043,0.025,0.007,0.365,0.018,0.0,0.0,0.016,600,23.659,1550,0.322,0.114,0.103,0.028,0.097,0.0,0.043,0.012,0.07,0.048,0.0,0.0,0.029,0.406,0.253,0.135,0.048,0.071,0.05,0.04,0.053,0.023,0.023,0.02,0.01,0.0
CMEAHAGD_11284,0.997,0.078,0.024,0.594,0.058,0.039,0.007,0.339,0.02,0.0,0.0,0.018,636,25.554,1548,0.307,0.105,0.056,0.08,0.081,0.027,0.043,0.072,0.027,0.074,0.019,0.027,0.053,0.37,0.186,0.073,0.117,0.063,0.06,0.032,0.034,0.019,0.019,0.034,0.009,0.049
CMEAHAGD_23676,0.991,0.082,0.021,0.439,0.061,0.038,0.009,0.289,0.02,0.0,0.0,0.019,516,19.783,1501,0.28,0.205,0.098,0.087,0.125,0.02,0.038,0.018,0.017,0.077,0.041,0.026,0.059,0.301,0.129,0.175,0.085,0.046,0.024,0.069,0.018,0.038,0.03,0.099,0.036,0.033
CMEAHAGD_02968,0.992,0.075,0.022,0.382,0.047,0.023,0.008,0.28,0.017,0.0,0.0,0.016,774,32.389,1517,0.33,0.108,0.127,0.151,0.071,0.055,0.029,0.011,0.024,0.012,0.043,0.028,0.033,0.273,0.164,0.132,0.092,0.065,0.015,0.041,0.054,0.019,0.007,0.03,0.022,0.028
CMEAHAGD_28890,0.997,0.086,0.024,0.394,0.041,0.031,0.008,0.312,0.016,0.0,0.0,0.015,775,37.805,1263,0.22,0.194,0.071,0.1,0.12,0.051,0.038,0.02,0.021,0.0,0.058,0.011,0.044,0.37,0.225,0.138,0.111,0.07,0.061,0.035,0.02,0.041,0.028,0.053,0.039,0.05
CMEAHAGD_04494,0.997,0.094,0.027,0.452,0.067,0.04,0.012,0.355,0.028,0.0,0.0,0.026,486,16.78,1539,0.292,0.306,0.122,0.028,0.0,0.039,0.037,0.043,0.042,0.047,0.037,0.02,0.048,0.385,0.234,0.059,0.099,0.114,0.099,0.12,0.065,0.027,0.011,0.012,0.033,0.055
CMEAHAGD_15970,0.999,0.085,0.028,0.528,0.027,0.035,0.004,0.377,0.011,0.0,0.0,0.01,881,34.137,1525,0.402,0.202,0.1,0.074,0.029,0.064,0.031,0.045,0.026,0.02,0.012,0.03,0.051,0.362,0.186,0.121,0.071,0.048,0.058,0.066,0.057,0.051,0.018,0.033,0.028,0.014
CMEAHAGD_09316,0.999,0.099,0.031,0.406,0.042,0.028,0.01,0.399,0.022,0.0,0.0,0.02,425,16.275,1519,0.458,0.188,0.103,0.135,0.085,0.071,0.056,0.0,0.053,0.054,0.0,0.03,0.0,0.365,0.302,0.123,0.074,0.122,0.086,0.093,0.06,0.015,0.0,0.034,0.015,0.014
CMEAHAGD_24607,0.999,0.097,0.03,0.464,0.032,0.036,0.006,0.402,0.015,0.0,0.0,0.014,433,17.881,1517,0.324,0.179,0.143,0.035,0.017,0.0,0.054,0.032,0.056,0.056,0.0,0.0,0.017,0.476,0.266,0.162,0.111,0.133,0.093,0.045,0.045,0.037,0.074,0.078,0.016,0.033
CMEAHAGD_07849,0.999,0.075,0.023,0.455,0.025,0.028,0.004,0.308,0.009,0.0,0.0,0.008,2038,89.948,1533,0.302,0.146,0.083,0.069,0.043,0.024,0.04,0.03,0.035,0.026,0.018,0.024,0.033,0.312,0.217,0.102,0.089,0.064,0.048,0.053,0.034,0.042,0.015,0.041,0.028,0.006
CMEAHAGD_23513,0.997,0.079,0.023,0.382,0.021,0.024,0.004,0.296,0.008,0.0,0.0,0.008,1199,49.205,1560,0.245,0.154,0.092,0.098,0.075,0.05,0.045,0.044,0.032,0.03,0.021,0.052,0.024,0.339,0.208,0.154,0.062,0.082,0.063,0.041,0.033,0.005,0.026,0.026,0.01,0.024
CMEAHAGD_25240,0.999,0.093,0.032,0.56,0.07,0.039,0.012,0.43,0.032,0.0,0.0,0.029,454,17.238,1519,0.403,0.118,0.14,0.12,0.065,0.068,0.058,0.085,0.033,0.0,0.057,0.031,0.0,0.487,0.188,0.148,0.101,0.089,0.061,0.03,0.056,0.012,0.028,0.041,0.0,0.0
CMEAHAGD_11873,0.996,0.099,0.025,0.378,0.065,0.041,0.013,0.33,0.027,0.0,0.0,0.025,462,21.44,1305,0.425,0.2,0.122,0.078,0.018,0.094,0.062,0.07,0.0,0.019,0.024,0.03,0.043,0.26,0.322,0.091,0.135,0.132,0.065,0.014,0.082,0.114,0.057,0.068,0.0,0.038
